BRD-A13964793,OC12C3C4C(C5C6CC(C15)C3C46)N2CCc1cccc(F)c1
BRD-A14178283,CC1(C)C[C@H]2[C@@]34C=CC5[C@@]6(C)CC[C@H](O[C@@H]7O[C@H](C)[C@H](O)[C@H](O[C@@H]8O[C@H](CO)[C@@H](O[C@@H]9O[C@H](CO)[C@@H](O)[C@H](O)[C@H]9O)[C@H](O)[C@H]8O)[C@H]7O[C@@H]7O[C@H](CO)[C@@H](O)[C@H](O)[C@H]7O)[C@@](C)(CO)C6CC[C@@]5(C)[C@]3(C)C[C@H](O)[C@@]2(CO4)CC1
BRD-A14208071,C[N+](CCOC(=O)C(O)(C1CCCCC1)c1ccccc1)(CC)CC
BRD-A14240607,NCC(O)c1ccc(O)cc1
BRD-A14262390,NC(=N)NCC1COC2(CCCCC2)O1
BRD-A14395271,CN1CCCCC1CCN1c2cc(ccc2Sc2ccccc12)S(C)=O
BRD-A14566392,CN1C2CC(CC1C1OC12)OC(=O)C(CO)c1ccccc1
BRD-A14574269,Clc1ccc(c[n]1)C1=CCCC2CCC1N2
BRD-A14634327,CCC(C)n1cc(C)c2c(cc(cc12)c3ccc(nc3)N4CCNCC4)C(=O)NCc5c(C)cc(C)nc5O
BRD-A14652656,CCCC(=O)Nc1[n]c[n]c2c1[n]c[n]2[C@@H]1O[C@@H]2OP(O)(=O)OC[C@@H]2[C@H]1OC(=O)CCC
BRD-A14792000,CC(C)C(C(O)=O)N(Cc1ccc(cc1)-c1ccccc1-c1[n][nH][n][n]1)C(=O)CCCC
BRD-A14798026,C[C@]12CCC3C(CCc4cc(ccc43)OC)C1CC[C@@]2(O)C#C
BRD-A14886633,CC[C@]12CCC3[C@@H](CCC4=CC(=O)CC[C@H]34)[C@@H]1CC[C@@]2(O)C#C
BRD-A14941520,OC(COc1cccc2ncccc12)CN1CCN(CC1)C(=O)C(c1ccccc1)c1ccccc1
BRD-A14966924,CC(C)(Cc1ccc(Cl)cc1)OC(=O)C(C)N
BRD-A14985772,CCCCCCCCCCCCCCCC(=O)OCC(O)[C@H]1OC(=O)C(=O)C1O
BRD-A15010982,CCCCCCC(C)(C)c1cc(O)c2[C@H]3CC(CO)=CCC3C(C)(C)Oc2c1
BRD-A15034104,COc1c(O)cc2C(=O)OC3C(OC(CO)C(O)C3O)c2c1O
BRD-A15070535,CCCC(=O)Nc1[n]c[n]c2c1[n]c[n]2[C@@H]1O[C@@H]2OP(O)(=O)OC[C@H]2[C@H]1OC(=O)CCC
BRD-A15079084,CC1(C)C2C3C=C(CC4(O)C(C=C(C)C4=O)C3(O)C(C)C(OC(=O)CCCCCCCCCCCCC)C12OC(C)=O)CO
