"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"GADD45A",344.7541853485,-0.922455290668539,0.254780661710442,-3.62058597570058,0.000293936554722006,0.0225025689219269
"LOC101928386",62.7227136754448,1.32609503677141,0.366701370830106,3.61628055485452,0.000298866453763678,0.0225025689219269
"UBE2Q2P1",33.750640847825,2.25285672304266,0.622839113326281,3.6170765047353,0.000297949260073701,0.0225025689219269
"REV3L",435.410206454384,0.822972358065669,0.22762255156111,3.61551328030309,0.000299753106724708,0.0225025689219269
"PPP1R7",163.795576853393,-1.12120777135214,0.309539573405766,-3.62217909334127,0.000292131750081535,0.0225025689219269
"MIR497HG",343.400182383724,-0.983766900784229,0.272303502709394,-3.61275889217671,0.000302956380163492,0.0225025689219269
"FRMD4B",501.288917846696,1.4653955750591,0.404844383402608,3.61965148866052,0.000295000067136418,0.0225025689219269
"ALDOC",151.917730584042,-1.49542791362319,0.413934762248628,-3.61271400715307,0.000303008844613103,0.0225025689219269
"CDKN2A",125.585199272534,1.28137893647761,0.355114423067382,3.60835509132355,0.000308144548717796,0.0227589165052991
"RAB37",56.3270296976711,-2.15080084469234,0.596718119725667,-3.60438333208508,0.000312894961433216,0.022763898565502
"ANKRD36B",208.522193747891,1.65251178181011,0.45851183616485,3.60407660494063,0.000313264659158284,0.022763898565502
"CITED2",76.6500551605722,-1.49865745354981,0.415710055343977,-3.60505461507242,0.000312087289865688,0.022763898565502
"ANKRD34C-AS1",162.247272161793,-1.14849085076237,0.319386581433877,-3.59592705994802,0.000323238368076641,0.0233630469675074
"PPM1G",771.033547858151,-0.902261408920907,0.251244542963524,-3.59116818331015,0.000329199107595318,0.0235420906786155
"MOSMO",569.217169703738,1.14004185143418,0.317346444389085,3.59242043385376,0.000327620704094443,0.0235420906786155
"RNF11",1064.37977049331,-0.811178473242652,0.226155437636326,-3.58681834812694,0.000334737337388082,0.0235641138132152
"IL1RAPL1",1080.19746563115,1.09365070243673,0.304846665887105,3.587543590986,0.000333807939346895,0.0235641138132152
"GMDS-DT",303.107975577267,1.30327884033041,0.363342873075537,3.58691180399036,0.000334617438034628,0.0235641138132152
"ATP7B",219.980883812053,-1.18478156896136,0.330607055841596,-3.58365481930012,0.000338819783355709,0.0237279180924133
"SGK494",101.774377773904,1.95299000483418,0.545946645834851,3.57725433379613,0.000347222293279,0.0241910129688607
"RPRD1A",226.280472438226,0.977666184760878,0.273977042704861,3.56842374495611,0.00035913534343048,0.0242926238750311
"PLCB1",747.807169665326,1.27062833842613,0.355906775732891,3.57011561752266,0.000356823701092197,0.0242926238750311
"SUCLG2",528.104855117796,0.888347991203594,0.248963649022533,3.56818352675731,0.000359464691847161,0.0242926238750311
"IDI2",65.7010113661688,-1.34430862743885,0.376676716957199,-3.56886573265849,0.000358530098363763,0.0242926238750311
"XKR6",147.931507770617,1.51802331096712,0.42516841026851,3.57040474857582,0.000356430049932207,0.0242926238750311
"DOCK4",1098.84777494678,1.13802391674313,0.318545071743502,3.57256795879576,0.000353497705758512,0.0242926238750311
"BSG",764.533880075417,-1.18111074571339,0.331238999884326,-3.56573575613335,0.000362836819756063,0.0243985196807112
